act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,3,10,21,11,14,3,no,10,,"Now, my dearest queen,—"
1,3,10,21,11,14,3,no,11,,"Pray you, stand further from me."
1,3,10,21,11,14,3,no,12,,What's the matter?
1,3,10,21,11,14,3,no,13,,"I know by that same eye, there's some good news."
1,3,10,21,11,14,3,no,14,21,What says the married woman ? You may go:
1,3,21,31,10,12,2,no,1,,Would she had never given you leave to come!
1,3,21,31,10,12,2,no,2,,Let her not say 'tis I that keep you here:
1,3,21,31,10,12,2,no,3,,I have no power upon you; hers you are.
1,3,21,31,10,12,2,no,4,,"The gods best know,—"
1,3,21,31,10,12,2,no,5,,"O, never was there queen"
1,3,21,31,10,12,2,no,6,,So mightily betray'd! yet at the first
1,3,21,31,10,12,2,no,7,,I saw the treasons planted.
1,3,21,31,10,12,2,no,8,,"Cleopatra,—"
1,3,21,31,10,12,2,no,9,,"Why should I think you can be mine and true,"
1,3,21,31,10,12,2,no,10,,"Though you in swearing shake the throned gods,"
1,3,21,31,10,12,2,no,11,,Who have been false to Fulvia ?
1,3,21,31,10,12,2,no,12,31,"To be entangled with those mouth-made vows,"
1,3,31,40,9,11,2,no,1,,Which break themselves in swearing!
1,3,31,40,9,11,2,no,2,,"Most sweet queen,—"
1,3,31,40,9,11,2,no,3,,"Nay, pray you, seek no color for your going,"
1,3,31,40,9,11,2,no,4,,"But bid farewell, and go:"
1,3,31,40,9,11,2,no,5,,Then was the time for words: no going then;
1,3,31,40,9,11,2,no,6,,"Eternity was in our lips and eyes,"
1,3,31,40,9,11,2,no,7,,"Bliss in our brows' bent; none our parts so poor,"
1,3,31,40,9,11,2,no,8,,"But was a race of heaven: they are so still,"
1,3,31,40,9,11,2,no,9,,"Or thou, the greatest soldier of the world,"
1,3,31,40,9,11,2,no,10,,Art turn'd the greatest liar.
1,3,31,40,9,11,2,no,11,40,"How now, lady"
1,3,40,50,10,11,1,no,1,,I would I had thy inches; thou shouldst know
1,3,40,50,10,11,1,no,2,,There were a heart in Egypt.
1,3,40,50,10,11,1,no,3,,"Hear me, queen:"
1,3,40,50,10,11,1,no,4,,The strong necessity of time commands
1,3,40,50,10,11,1,no,5,,Our services awhile; but my full heart
1,3,40,50,10,11,1,no,6,,Remains in use with you. Our Italy
1,3,40,50,10,11,1,no,7,,Shines o'er with civil swords: Sextus Pompeius
1,3,40,50,10,11,1,no,8,,Makes his approaches to the port of Rome:
1,3,40,50,10,11,1,no,9,,Equality of two domestic powers
1,3,40,50,10,11,1,no,10,,"Breed scrupulous faction: the hated, grown to strength,"
1,3,40,50,10,11,1,no,11,50,"Are newly grown to love: the condemn'd Pompey,"
1,3,50,59,9,9,0,yes,,,
1,3,59,70,11,12,1,no,1,,"She's dead, my queen:"
1,3,59,70,11,12,1,no,2,,"Look here, and at thy sovereign leisure read"
1,3,59,70,11,12,1,no,3,,"The garboils she awaked; at the last, best:"
1,3,59,70,11,12,1,no,4,,See when and where she died.
1,3,59,70,11,12,1,no,5,,O most false love!
1,3,59,70,11,12,1,no,6,,Where be the sacred vials thou shouldst fill
1,3,59,70,11,12,1,no,7,,"With sorrowful water ? Now I see, I see,"
1,3,59,70,11,12,1,no,8,,"In Fulvia's death, how mine received shall be."
1,3,59,70,11,12,1,no,9,,"Quarrel no more, but be prepared to know"
1,3,59,70,11,12,1,no,10,,"The purposes I bear; which are, or cease,"
1,3,59,70,11,12,1,no,11,,As you shall give the advice. By the fire
1,3,59,70,11,12,1,no,12,70,"That quickens Nilus' slime, I go from hence"
1,3,70,80,10,14,4,no,1,,"Thy soldier, servant; making peace or war"
1,3,70,80,10,14,4,no,2,,As thou affect'st.
1,3,70,80,10,14,4,no,3,,"Cut my lace, Charmian, come;"
1,3,70,80,10,14,4,no,4,,"But let it be: I am quickly ill, and well,"
1,3,70,80,10,14,4,no,5,,So Antony loves.
1,3,70,80,10,14,4,no,6,,"My precious queen, forbear;"
1,3,70,80,10,14,4,no,7,,"And give true evidence to his love, which stands"
1,3,70,80,10,14,4,no,8,,An honorable trial.
1,3,70,80,10,14,4,no,9,,So Fulvia told me.
1,3,70,80,10,14,4,no,10,,"I prithee, turn aside and weep for her,"
1,3,70,80,10,14,4,no,11,,"Then bid adieu to me, and say the tears"
1,3,70,80,10,14,4,no,12,,"Belong to Egypt: good now, play one scene"
1,3,70,80,10,14,4,no,13,,Of excellent dissembling; and let it look
1,3,70,80,10,14,4,no,14,80,Life perfect honor.
1,3,80,90,10,12,2,no,1,,You'll heat my blood: no more.
1,3,80,90,10,12,2,no,2,,You can do better yet; but this is meetly.
1,3,80,90,10,12,2,no,3,,"Now, by my sword,—"
1,3,80,90,10,12,2,no,4,,And target. Still he mends;
1,3,80,90,10,12,2,no,5,,"But this is not the best. Look, prithee, Charmian,"
1,3,80,90,10,12,2,no,6,,How this Herculean Roman does become
1,3,80,90,10,12,2,no,7,,The carriage of his chafe.
1,3,80,90,10,12,2,no,8,,"I'll leave you, lady."
1,3,80,90,10,12,2,no,9,,"Courteous lord, one word."
1,3,80,90,10,12,2,no,10,,"Sir, you and I must part, but that's not it:"
1,3,80,90,10,12,2,no,11,,"Sir, you and I have loved, but there's not it;"
1,3,80,90,10,12,2,no,12,90,"That you know well: something it is I would,"
1,3,90,100,10,12,2,no,1,,"O, my oblivion is a very Antony,"
1,3,90,100,10,12,2,no,2,,And I am all forgotten.
1,3,90,100,10,12,2,no,3,,But that your royalty
1,3,90,100,10,12,2,no,4,,"Holds idleness your subject, I should take you"
1,3,90,100,10,12,2,no,5,,For idleness itself.
1,3,90,100,10,12,2,no,6,,'Tis sweating labor
1,3,90,100,10,12,2,no,7,,To bear such idleness so near the heart
1,3,90,100,10,12,2,no,8,,"As Cleopatra this. But, sir, forgive me;"
1,3,90,100,10,12,2,no,9,,"Since my becomings kill me, when they do not"
1,3,90,100,10,12,2,no,10,,Eye well to you: your honor calls you hence;
1,3,90,100,10,12,2,no,11,,Therefore be deaf to my unpitied folly.
1,3,90,100,10,12,2,no,12,100,And all the gods go with you! upon your sword
1,4,10,20,10,10,0,yes,,,
1,4,20,30,10,10,0,yes,,,
1,4,30,40,10,12,2,no,1,,"As his own state and ours,—'tis to be chid"
1,4,30,40,10,12,2,no,2,,"As we rate boys, who, being mature in knowledge,"
1,4,30,40,10,12,2,no,3,,"Pawn their experience to their present pleasure,"
1,4,30,40,10,12,2,no,4,,And so rebel to judgment.
1,4,30,40,10,12,2,no,5,,Here's more news.
1,4,30,40,10,12,2,no,6,,"Thy biddings have been done; and every hour,"
1,4,30,40,10,12,2,no,7,,"Most noble Cæsar, shalt thou have report"
1,4,30,40,10,12,2,no,8,,How 'tis abroad. Pompey is strong at sea;
1,4,30,40,10,12,2,no,9,,And it appears he is beloved of those
1,4,30,40,10,12,2,no,10,,That only have fear'd Cæsar: to the ports
1,4,30,40,10,12,2,no,11,,"The discontents repair, and men's reports"
1,4,30,40,10,12,2,no,12,40,Give him much wrong'd.
1,4,40,49,9,10,1,no,1,,I should have known no less.
1,4,40,49,9,10,1,no,2,,"It hath been taught us from the primal state,"
1,4,40,49,9,10,1,no,3,,That he which is was wish'd until he were;
1,4,40,49,9,10,1,no,4,,"And the ebb'd man,"
1,4,40,49,9,10,1,no,5,,"Comes dear'd by being lack'd. This common body,"
1,4,40,49,9,10,1,no,6,,"Like to a vagabond flag upon the stream,"
1,4,40,49,9,10,1,no,7,,"Goes to and back, lackeying the varying tide,"
1,4,40,49,9,10,1,no,8,,To rot itself with motion.
1,4,40,49,9,10,1,no,9,,"Cæsar, I bring thee word,"
1,4,40,49,9,10,1,no,10,49,"Menecrates and Menas, famous pirates,"
1,4,49,60,11,12,1,no,1,,"Make the sea serve them, which they ear and wound"
1,4,49,60,11,12,1,no,2,,With keels of every kind: many hot inroads
1,4,49,60,11,12,1,no,3,,They make in Italy; the borders maritime
1,4,49,60,11,12,1,no,4,,"Lack blood to think on 't, and flush youth revolt:"
1,4,49,60,11,12,1,no,5,,"No vessel can peep forth, but 'tis as soon"
