act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,2,151,170,19,18,-1,no,9,,dissolutions of ancient amities; divisions in
1,2,151,170,19,18,-1,no,10,,"state, menaces and maledictions against king"
1,2,151,170,19,18,-1,no,11,,"and nobles; needless diffidences, banishment"
1,2,151,170,19,18,-1,no,12,,"of friends, dissipation of cohorts, nuptial"
1,2,151,170,19,18,-1,no,13,,"breaches, and I know not what."
1,2,151,170,19,18,-1,no,14,,How long have you been a sectary astronomical?
1,2,151,170,19,18,-1,no,15,,"Come, come;"
1,2,151,170,19,18,-1,no,16,,last?
1,2,151,170,19,18,-1,no,17,,"Why, the night gone by."
1,2,151,170,19,18,-1,no,18,170,Spake you with him?
1,2,170,179,9,10,1,no,1,,"Ay, two hours together."
1,2,170,179,9,10,1,no,2,,Parted you in good terms? Found
1,2,170,179,9,10,1,no,3,,you no displeasure
1,2,170,179,9,10,1,no,4,,countenance?
1,2,170,179,9,10,1,no,5,,None at all.
1,2,170,179,9,10,1,no,6,,Bethink yourself wherein you may
1,2,170,179,9,10,1,no,7,,have offended
1,2,170,179,9,10,1,no,8,,his presence till
1,2,170,179,9,10,1,no,9,,qualified the heat of his displeasure;
1,2,170,179,9,10,1,no,10,179,"this instant so rageth in him, that with the mischief"
1,2,179,199,20,21,1,no,1,,of your person it would scarcely allay.
1,2,179,199,20,21,1,no,2,,Some villain hath done me wrong.
1,2,179,199,20,21,1,no,3,,"That's my fear. I pray you, have a"
1,2,179,199,20,21,1,no,4,,continent
1,2,179,199,20,21,1,no,5,,"goes slower; and, as"
1,2,179,199,20,21,1,no,6,,"my lodging, from whence I will fitly"
1,2,179,199,20,21,1,no,7,,"to hear my lord speak: pray ye, go;"
1,2,179,199,20,21,1,no,8,,"my key: if you do stir abroad, go armed."
1,2,179,199,20,21,1,no,9,,"Armed, brother!"
1,2,179,199,20,21,1,no,10,,"Brother, I advise you to the best; go"
1,2,179,199,20,21,1,no,11,,armed: I am no honest
1,2,179,199,20,21,1,no,12,,good meaning towards you: I have told
1,2,179,199,20,21,1,no,13,,"what I have seen and heard; but faintly, nothing"
1,2,179,199,20,21,1,no,14,,like the image and horror of it: pray you
1,2,179,199,20,21,1,no,15,,away.
1,2,179,199,20,21,1,no,16,,Shall I hear from you anon?
1,2,179,199,20,21,1,no,17,,I do serve you in this business.
1,2,179,199,20,21,1,no,18,,"A credulous father! and a brother noble,"
1,2,179,199,20,21,1,no,19,,"Whose nature is so far from doing harms,"
1,2,179,199,20,21,1,no,20,,That he suspects none; on whose foolish honesty
1,2,179,199,20,21,1,no,21,199,My practices ride easy! I see the business.
1,3,9,20,11,11,0,yes,,,
1,4,10,21,11,12,1,no,1,,what art thou?
1,4,10,21,11,12,1,no,2,,"A man, sir."
1,4,10,21,11,12,1,no,3,,What dost thou profess? what
1,4,10,21,11,12,1,no,4,,wouldst thou
1,4,10,21,11,12,1,no,5,,I do profess to be no less than I
1,4,10,21,11,12,1,no,6,,seem; to serve
1,4,10,21,11,12,1,no,7,,trust; to love him that is
1,4,10,21,11,12,1,no,8,,"with him that is wise, and says little; to"
1,4,10,21,11,12,1,no,9,,judgement; to fight when I cannot choose; and
1,4,10,21,11,12,1,no,10,,to
1,4,10,21,11,12,1,no,11,,What art thou?
1,4,10,21,11,12,1,no,12,21,"A very honest-hearted fellow, and as"
1,4,21,30,9,9,0,yes,,,
1,4,30,31,1,1,0,yes,,,
1,4,31,39,8,8,0,yes,,,
1,4,39,60,21,21,0,yes,,,
1,4,60,71,11,11,0,yes,,,
1,4,71,80,9,9,0,yes,,,
1,4,80,91,11,12,1,no,1,,"France,"
1,4,80,91,11,12,1,no,2,,No more of that; I have noted it
1,4,80,91,11,12,1,no,3,,"well. Go you,"
1,4,80,91,11,12,1,no,4,,speak with her.
1,4,80,91,11,12,1,no,5,,call hither my fool.
1,4,80,91,11,12,1,no,6,,"O, you sir, you, come you hither,"
1,4,80,91,11,12,1,no,7,,"I, sir?"
1,4,80,91,11,12,1,no,8,,My lady's father.
1,4,80,91,11,12,1,no,9,,'My lady's father'! my lord's knave:
1,4,80,91,11,12,1,no,10,,you whoreson
1,4,80,91,11,12,1,no,11,,cur!
1,4,80,91,11,12,1,no,12,91,"I am none of these, my lord;"
1,4,91,119,28,28,0,yes,,,
1,4,119,130,11,11,0,yes,,,
1,4,130,140,10,10,0,yes,,,
1,4,140,150,10,10,0,yes,,,
1,4,150,160,10,10,0,yes,,,
1,4,160,171,11,11,0,yes,,,
1,4,171,180,9,10,1,no,1,,give thee
1,4,171,180,9,10,1,no,2,,What two crowns shall they be?
1,4,171,180,9,10,1,no,3,,"Why, after I have cut the egg i' the"
1,4,171,180,9,10,1,no,4,,"middle, and"
1,4,171,180,9,10,1,no,5,,of the egg. When
1,4,171,180,9,10,1,no,6,,"the middle, and gavest away"
1,4,171,180,9,10,1,no,7,,borest thy ass on thy back o'er the
1,4,171,180,9,10,1,no,8,,"hadst little wit in thy bald crown, when thou"
1,4,171,180,9,10,1,no,9,,gavest thy golden one away. If I speak like
1,4,171,180,9,10,1,no,10,180,myself in
1,4,180,190,10,10,0,yes,,,
1,4,190,209,19,20,1,no,1,,"down thine own breeches,"
1,4,190,209,19,20,1,no,2,,Then they
1,4,190,209,19,20,1,no,3,,"And I for sorrow sung,"
1,4,190,209,19,20,1,no,4,,"That such a king should play bo-peep,"
1,4,190,209,19,20,1,no,5,,And go the fools among.
1,4,190,209,19,20,1,no,6,,"Prithee, nuncle, keep a schoolmaster that can"
1,4,190,209,19,20,1,no,7,,teach
1,4,190,209,19,20,1,no,8,,"An you lie, sirrah, we'll have you"
1,4,190,209,19,20,1,no,9,,whipped.
1,4,190,209,19,20,1,no,10,,I marvel what kin thou and thy
1,4,190,209,19,20,1,no,11,,daughters are:
